"brandName","branchName","longitude","latitude","cityName"
Adi Kopi Nusantara,Adi Kopi Nusantara,106.74151330,-6.10318820,Jakarta Utara
ADORESTO,ADORESTO,106.85546635,-6.24060142,Jakarta Selatan
Aetofolia,Aetofolia,106.83177880,-6.21974660,Jakarta Selatan
Aftermatcha,Aftermatcha,,,Jakarta Selatan
Afterwork Resto & Lounge,Afterwork Resto & Lounge,106.96053280,-6.17214663,Jakarta Timur
Agen,Agen,,,Jakarta Barat
Agregat Eatery,Agregat Eatery - Accordeon,106.91043580,-6.17437130,Jakarta Utara
Agregat Eatery,AGREGAT EXPRESS,106.91047871,-6.17421663,Jakarta Utara
Agreya Coffee,Agreya Coffee Condet,106.85487670,-6.28025210,Jakarta Timur
Agreya Coffee,Agreya Coffee Duren Sawit,106.91504070,-6.22870530,Jakarta Timur
Agreya Coffee,Agreya Coffee Menteng,106.83267270,-6.20171470,Jakarta Pusat
Ahjoosie,Ahjoosie Artha Gading,0.00000000,0.00000000,Jakarta Utara
Ahjoosie,Ahjoosie Puri,106.73255688,-6.17810238,Jakarta Barat
Ahjoosie,Ahjoosie Tebet,0.00000000,0.00000000,Jakarta Selatan
Ahjoosie,Ahjoosie Citra Garden 6,106.71171715,-6.12578927,Jakarta Barat
AHLANS CELL,AHLANS CELL,,,Jakarta Selatan
Ahlinya Soto,Ahlinya Soto,106.72460400,-6.16565570,Jakarta Barat
AI CHA,Ai CHA LOKASARI,106.82381471,-6.14642405,Jakarta Barat
AI CHA,Ai CHA PIK,106.74456533,-6.09137453,Jakarta Utara
AI CHA,Ai CHA VAPE JOHAR BARU,106.85618840,-6.18305380,Jakarta Pusat
AI CHA,Ai-cha Airmadidi,106.72641250,-6.13618710,Jakarta Barat
AI CHA,Ai CHA ANCOL,106.82260940,-6.11750960,Jakarta Utara
AI CHA,AI-CHA CITYPARK,106.73483510,-6.13155380,Jakarta Barat
AI CHA,Ai-CHA TAMAN PALEM,106.78628680,-6.11727520,Jakarta Utara
AI CHA,AI-CHA GALUH MAS,,,Jakarta Pusat
AI CHA,Ai-Cha Kemayoran Timah,106.85295097,-6.17189333,Jakarta Pusat
AI CHA,Ai CHA PASAR BARU,106.83323809,-6.16231483,Jakarta Pusat
AI CHA,Ai CHA SEASON CITY,106.79591748,-6.15312032,Jakarta Barat
AI CHA,Ai CHA TJ DUREN,106.78013006,-6.17662414,Jakarta Barat
AI CHA,Ai CHA DUREN SAWIT,106.92110000,-6.22829000,Jakarta Timur
AI CHA,Ai CHA PLUIT VILLAGE,106.78628743,-6.11727340,Jakarta Utara
AI CHA,Ai CHA TAMAN SUNTER INDAH,106.87639000,-6.15098000,Jakarta Utara
AI CHA,Ai CHA KEAMANAN,106.81510690,-6.15137480,Jakarta Barat
AI CHA,Ai-cha Taman Ismail Marzuki,,,Jakarta Pusat
AI CHA,Aicha - Sta Mesa,106.73701200,-6.18891860,Jakarta Barat
AI CHA,Ai CHA CURUG 52,106.73378410,-6.14233160,Jakarta Barat
AI CHA,AI CHA CONDET,0.00000000,0.00000000,Jakarta Timur
AI CHA,AI CHA KEBAGUSAN RAYA,,,Jakarta Selatan
AI CHA,Ai CHA KELAPA GADING BOULEVARD,106.90232510,-6.16578227,Jakarta Utara
AI CHA,Ai CHA PEDONGKELAN,,,Jakarta Barat
AI CHA,Ai-CHA Plaza ONO sidareja,106.72641250,-6.13618710,Jakarta Barat
AI CHA,Ai-Cha Palabuhan Ratu,0.00000000,0.00000000,Jakarta Selatan
AI CHA,Ai-CHA Q SQUARE,106.78391750,-6.17135150,Jakarta Barat
AI CHA,Ai CHA TUGU MONAS,106.82715280,-6.17539240,Jakarta Pusat
AI CHA,AI CHA BABULU,,,Jakarta Utara
AI CHA,Ai CHA BLOK M,106.79499750,-6.24413110,Jakarta Selatan
AI CHA,AI-CHA HAURGEULIS INDRAMAYU,106.72641250,-6.13618710,Jakarta Barat
AI CHA,AI-CHA KAYUTANGI,0.00000000,0.00000000,Jakarta Barat
AI CHA,AI-CHA KARANG MEKAR,106.82715357,-6.17539768,Jakarta Pusat
AI CHA,AI-CHA PARUGA BIMA,106.86356430,-6.18153830,Jakarta Pusat
AI CHA,AI-CHA CIRACAS,106.87671820,-6.32915440,Jakarta Timur
AI CHA,Ai CHA KELAPA GADING HYBRIDA,106.89749640,-6.15619840,Jakarta Utara
AI CHA,AI-CHA CILINCING,106.91901130,-6.11335820,Jakarta Utara
AI CHA,Ai-CHA KENTEN,106.72641250,-6.13618710,Jakarta Barat
AI CHA,Ai-Cha Saimai Avenue,0.00000000,0.00000000,Jakarta Utara
